ADDRNO,TAGNAME,TAGMC,TAGLX
1,Y3_sample_1_Value,1#是否为样板机,S
2,Y3_sample_2_Value,2#是否为样板机,S
3,Y3_sample_3_Value,3#是否为样板机,S
4,Y3_sample_4_Value,4#是否为样板机,S
5,Y3_sample_5_Value,5#是否为样板机,S
6,Y3_sample_6_Value,6#是否为样板机,S
7,Y3_sample_7_Value,7#是否为样板机,S
8,Y3_sample_8_Value,8#是否为样板机,S
9,Y3_sample_9_Value,9#是否为样板机,S
10,Y3_sample_10_Value,10#是否为样板机,S
11,Y3_sample_11_Value,11#是否为样板机,S
12,Y3_sample_12_Value,12#是否为样板机,S
13,Y3_sample_13_Value,13#是否为样板机,S
14,Y3_sample_14_Value,14#是否为样板机,S
15,Y3_sample_15_Value,15#是否为样板机,S
16,Y3_sample_16_Value,16#是否为样板机,S
17,Y3_sample_17_Value,17#是否为样板机,S
18,Y3_sample_18_Value,18#是否为样板机,S
19,Y3_sample_19_Value,19#是否为样板机,S
20,Y3_sample_20_Value,20#是否为样板机,S
21,Y3_sample_21_Value,21#是否为样板机,S
22,Y3_sample_22_Value,22#是否为样板机,S
23,Y3_sample_23_Value,23#是否为样板机,S
24,Y3_sample_24_Value,24#是否为样板机,S
25,Y3_sample_25_Value,25#是否为样板机,S
26,Y3_sample_26_Value,26#是否为样板机,S
27,Y3_sample_27_Value,27#是否为样板机,S
28,Y3_sample_28_Value,28#是否为样板机,S
29,Y3_sample_29_Value,29#是否为样板机,S
30,Y3_sample_30_Value,30#是否为样板机,S
31,Y3_sample_31_Value,31#是否为样板机,S
32,Y3_sample_32_Value,32#是否为样板机,S
33,Y3_sample_33_Value,33#是否为样板机,S
34,Y3_sample_34_Value,34#是否为样板机,S
35,Y3_sample_35_Value,35#是否为样板机,S
36,Y3_sample_36_Value,36#是否为样板机,S
37,Y3_sample_37_Value,37#是否为样板机,S
38,Y3_sample_38_Value,38#是否为样板机,S
39,Y3_sample_39_Value,39#是否为样板机,S
40,Y3_sample_40_Value,40#是否为样板机,S
41,Y3_sample_41_Value,41#是否为样板机,S
42,Y3_sample_42_Value,42#是否为样板机,S
43,Y3_sample_43_Value,43#是否为样板机,S
44,Y3_sample_44_Value,44#是否为样板机,S
45,Y3_sample_45_Value,45#是否为样板机,S
46,Y3_sample_46_Value,46#是否为样板机,S
47,Y3_sample_47_Value,47#是否为样板机,S
48,Y3_sample_48_Value,48#是否为样板机,S
49,Y3_sample_49_Value,49#是否为样板机,S
50,Y3_sample_50_Value,50#是否为样板机,S
