ADDRNO,TAGNAME,TAGMC,TAGLX
1,Y1_YX1,AGC调度单点设定值(单定值模式有效),S
2,Y1_YX2,调度单点设定值(单定值模式有效),S
3,Y1_YX3,110kV母线母线电压参考返回值,S
4,Y1_YX4,AGC柔性功率调度单点设定值(单定值模式有效),S
5,Y1_YX5,当前计划值(MW),S
16385,Y1_YC1,110kV母线遥测Ua3,A
16386,Y1_YC2,110kV母线遥测Ub3,A
16387,Y1_YC3,110kV母线遥测Uc3,A
16388,Y1_YC4,110kV母线遥测Uab3,A
16389,Y1_YC5,110kV母线遥测Ubc3,A
16390,Y1_YC6,110kV母线遥测Uca3,A
16391,Y1_YC7,110kV沪聚线1171间隔遥测Ia,A
16392,Y1_YC8,110kV沪聚线1171间隔遥测Ib,A
16393,Y1_YC9,110kV沪聚线1171间隔遥测Ic,A
16394,Y1_YC10,110kV沪聚线1171间隔遥测Ul,A
16395,Y1_YC11,110kV沪聚线1171间隔遥测P,A
16396,Y1_YC12,110kV沪聚线1171间隔遥测Q,A
16397,Y1_YC13,#1主变110kV侧遥测Ia1,A
16398,Y1_YC14,#1主变110kV侧遥测Ib1,A
16399,Y1_YC15,#1主变110kV侧遥测Ic1,A
16400,Y1_YC16,#1主变35kV侧遥测Ia2,A
16401,Y1_YC17,#1主变35kV侧遥测Ib2,A
16402,Y1_YC18,#1主变35kV侧遥测Ic2,A
16403,Y1_YC19,#1主变110kV侧遥测P1,A
16404,Y1_YC20,#1主变110kV侧遥测Q1,A
16405,Y1_YC21,#1主变35kV侧遥测P2,A
16406,Y1_YC22,#1主变35kV侧遥测Q2,A
16407,Y1_YC23,＃1主变档位,A
16408,Y1_YC24,#2主变110kV侧遥测Ia1,A
16409,Y1_YC25,#2主变110kV侧遥测Ib1,A
16410,Y1_YC26,#2主变110kV侧遥测Ic1,A
16411,Y1_YC27,#2主变35kV侧遥测Ia2,A
16412,Y1_YC28,#2主变35kV侧遥测Ib2,A
16413,Y1_YC29,遥测Ic2,A
16414,Y1_YC30,#2主变110kV侧遥测P1,A
16415,Y1_YC31,#2主变110kV侧遥测Q1,A
16416,Y1_YC32,#2主变35kV侧遥测P2,A
16417,Y1_YC33,#2主变35kV侧遥测Q2,A
16418,Y1_YC34,#2主变档位,A
16419,Y1_YC35,35kVI母遥测Ua1,A
16420,Y1_YC36,35kVI母遥测Ub1,A
16421,Y1_YC37,35kVI母遥测Uc1,A
16422,Y1_YC38,35kVI母遥测Uab1,A
16423,Y1_YC39,35kVI母遥测Ubc1,A
16424,Y1_YC40,35kVI母遥测Uca1,A
16425,Y1_YC41,35kVII母遥测Ua1,A
16426,Y1_YC42,35kVII母遥测Ub1,A
16427,Y1_YC43,35kVII母遥测Uc1,A
16428,Y1_YC44,35kVII母遥测Uab1,A
16429,Y1_YC45,35kVII母遥测Ubc1,A
16430,Y1_YC46,35kVII母遥测Uca1,A
16431,Y1_YC47,35kV风电一回3521间隔遥测Ia,A
16432,Y1_YC48,35kV风电一回3521间隔遥测Ib,A
16433,Y1_YC49,35kV风电一回3521间隔遥测Ic,A
16434,Y1_YC50,35kV风电一回3521间隔遥测P,A
16435,Y1_YC51,35kV风电一回3521间隔遥测Q,A
16436,Y1_YC52,35kV风电二回3522间隔遥测Ia,A
16437,Y1_YC53,35kV风电二回3522间隔遥测Ib,A
16438,Y1_YC54,35kV风电二回3522间隔遥测Ic,A
16439,Y1_YC55,35kV风电二回3522间隔遥测P,A
16440,Y1_YC56,35kV风电二回3522间隔遥测Q,A
16441,Y1_YC57,35kV＃1SVG3541间隔遥测Ia,A
16442,Y1_YC58,35kV＃1SVG3541间隔遥测Ic,A
16443,Y1_YC59,35kV＃1SVG3541间隔遥测P,A
16444,Y1_YC60,1号SVG无功（取反）,A
16445,Y1_YC61,35kV＃1接地变3571间隔遥测Ia,A
16446,Y1_YC62,35kV＃1接地变3571间隔遥测Ib,A
16447,Y1_YC63,35kV＃1接地变3571间隔遥测Ic,A
16448,Y1_YC64,35kV＃1接地变3571间隔遥测P,A
16449,Y1_YC65,35kV＃1接地变3571间隔遥测Q,A
16450,Y1_YC66,35kV#2SVG3542间隔遥测Ia,A
16451,Y1_YC67,35kV#2SVG3542间隔遥测Ic,A
16452,Y1_YC68,35kV#2SVG3542间隔遥测P,A
16453,Y1_YC69,2号SVG无功（取反）,A
16454,Y1_YC70,35kV＃2接地变3572间隔遥测Ia,A
16455,Y1_YC71,35kV＃2接地变3572间隔遥测Ib,A
16456,Y1_YC72,35kV＃2接地变3572间隔遥测Ic,A
16457,Y1_YC73,35kV＃2接地变3572间隔遥测P,A
16458,Y1_YC74,35kV＃2接地变3572间隔遥测Q,A
16459,Y1_YC75,35kV风电三回3523间隔遥测Ia,A
16460,Y1_YC76,35kV风电三回3523间隔遥测Ib,A
16461,Y1_YC77,35kV风电三回3523间隔遥测Ic,A
16462,Y1_YC78,35kV风电三回3523间隔遥测P,A
16463,Y1_YC79,35kV风电三回3523间隔遥测Q,A
16464,Y1_YC80,35kV风电四回3524间隔遥测Ia,A
16465,Y1_YC81,35kV风电四回3524间隔遥测Ib,A
16466,Y1_YC82,35kV风电四回3524间隔遥测Ic,A
16467,Y1_YC83,35kV风电四回3524间隔遥测P,A
16468,Y1_YC84,35kV风电四回3524间隔遥测Q,A
16469,Y1_YC85,出线功率,A
16470,Y1_YC86,AVC反馈值,A
16471,Y1_YC87,风场总有功,A
16472,Y1_YC88,风场总无功,A
16473,Y1_YC89,总运行容量,A
16474,Y1_YC90,总待机容量,A
16475,Y1_YC91,总停机容量,A
16476,Y1_YC92,实时有功可调上限,A
16477,Y1_YC93,实时有功可调下限,A
16478,Y1_YC94,实时无功可调上限,A
16479,Y1_YC95,实时无功可调下限,A
16480,Y1_YC96,全场平均风速,A
16481,Y1_YC97,全场平均出力,A
16482,Y1_YC98,样板机台数,A
16483,Y1_YC99,自由发电台数,A
16484,Y1_YC100,并网台数,A
16485,Y1_YC101,待机台数,A
16486,Y1_YC102,限功率台数,A
16487,Y1_YC103,故障台数,A
16488,Y1_YC104,停运台数,A
16489,Y1_YC105,检修台数,A
16490,Y1_YC106,通讯中断台数,A
16491,Y1_YC107,1#有功功率,A
16492,Y1_YC108,1#风速,A
16493,Y1_YC109,1#风向,A
16494,Y1_YC110,1#无功功率,A
16495,Y1_YC111,2#有功功率,A
16496,Y1_YC112,2#风速,A
16497,Y1_YC113,2#风向,A
16498,Y1_YC114,2#无功功率,A
16499,Y1_YC115,3#有功功率,A
16500,Y1_YC116,3#风速,A
16501,Y1_YC117,3#风向,A
16502,Y1_YC118,3#无功功率,A
16503,Y1_YC119,4#有功功率,A
16504,Y1_YC120,4#风速,A
